Sentence_ID,Domain,Sentence,Word_Count
S1,World,Somalis vie to be new president Twenty-eight candidates are approved to contest next week's elections to be Somalia's new leader.,20
S2,World,"Agency pleads for hostage release Care International appeals on Arabic television for the release of its Iraq director, Margaret Hassan.",20
S3,World,"Clinton recovering after heart op Former US President Bill Clinton's heart bypass operation is successful, say doctors in New York.",20
S4,World,"Tired of post-9/11 hassles, Arab tourists head east Saudi visitors to Malaysia were up 53 percent in 2004.",18
S5,World,Greenspan warns over US deficit Federal Reserve chief Alan Greenspan says the US trade deficit cannot be sustained indefinitely.,19
S6,World,"Landmine kills Afghan policemen Seven Afghan policemen are killed by a landmine in the Kandahar province, ahead of landmark elections.",20
S7,World,"Ghana votes in presidential poll Presidential elections are taking place in Ghana, which boasts political stability but much poverty.",19
S8,World,New Zimbabwe restrictions target aid groups A proposed law would limit foreign funding of churches and AIDS programs.,18
S9,World,German trial stirs torture debate An ex-police officer goes on trial in Germany charged with threatening a suspect with torture.,20
S10,World,"Painkiller risk to gut revealed The risk of intestinal damage from common painkillers may be higher than thought, research suggests.",20
S11,World,"Fighting rages in South Ossetia Heavy fighting erupts in Georgia's breakaway South Ossetia region, shattering a two-day ceasefire.",18
S12,World,"'Few ready' for information act Public bodies are ill-prepared for the Freedom of Information Act, says a group of MPs.",20
S13,World,Charges over Montenegro killing Montenegro prosecutors charge a former karate champion over the death of a newspaper editor.,18
S14,World,'Distressed' Thatcher flies home Baroness Thatcher returns home as it emerges her son Sir Mark could face extradition proceedings.,19
S15,World,"U.S. Marine Killed in Anbar Province U.S. Marine killed in Iraq's Anbar provinceBC-Iraq-Military Death,0115",14
S16,World,"Alcohol hampers depth perception Drinking alcohol impairs driving ability by disrupting depth perception, researchers find.",15
S17,World,Table tennis: Gold for China Zhang Yining beats North Korea's Kim Hyang-Mi to win the table tennis women's singles.,19
S18,World,Swiss 'reject' citizenship reform Swiss voters appear to have rejected proposals to relax the country's strict naturalisation laws.,18
S19,World,"Maradona 'can be treated abroad' Former football star Diego Maradona can return to Cuba for drug rehabilitation, his lawyer says.",20
S20,World,"Cambodia set to crown new king Cambodians prepare for the coronation of King Sihamoni, amid an array of official festivities.",20
S21,World,Observers approve Afghan election International observers say calls to annul the Afghan presidential poll on grounds of fraud are unjustified.,20
S22,World,"Burma crackdown on luxury cars Burma investigates illegally imported luxury cars, the latest repercussion of former PM Khin Nyunt's ouster.",20
S23,World,"Turkish hostages 'killed' in Iraq An Iraqi militant group kills three Turkish hostages, reports Arabic TV station al-Jazeera.",18
S24,World,Home users get Windows update Microsoft is making its important security update for Windows XP available on auto-update servers today.,20
S25,World,Chinese firm buys IBM PC business IBM is selling its PC hardware business to number one Chinese computer maker Lenovo.,20
S26,Sports,"Today's schedule Pro basketball: WNBA playoffs: Sun vs. Washington (Game 3) at Mohegan Sun Arena, Uncasville, Conn., 8 p.m.",19
S27,Sports,NFL Pass-Interference Crackwon Draws Fire (AP) AP - Darren Sharper is upset about the NFL's crackdown on pass interference.,19
S28,Sports,Transactions BASEBALL Arizona (NL): Signed a two-year player development agreement with Tennessee (Southern).,13
S29,Sports,Rams Roll Past Redskins 28-3 (AP) AP - Torry Holt and the St. Louis Rams finally had something to celebrate.,20
S30,Sports,"Quincy gets its revenge It took a year, but Quincy's volleyball team has bragging rights in the city again.",19
S31,Sports,Macey surges into fourth Britain's Dean Macey lies in fourth place after five events of the decathlon.,17
S32,Sports,Ruffin Grabs Attention Forward Michael Ruffin is impressing Wizards coaches with his rebounding and rough play under the basket.,19
S33,Sports,Rebels Target Erickson Ole Miss has received permission from the San Francisco 49ers to speak with head coach Dennis Erickson.,20
S34,Sports,"US NBA players become the Nightmare Team after epic loss (AFP) AFP - Call them the ""Nightmare Team"".",18
S35,Sports,"Sportsview: Eagles Have Attitude, Talent (AP) AP - The Philadelphia Eagles had talent. Now they have swagger and personality, too.",20
S36,Sports,Colts' Freeney Rushes to Get Most Sacks (AP) AP - Dwight Freeney always has gotten the attention of offenses.,19
S37,Sports,Greek pair await IAAF fate Kostas Kenteris and Katerina Thanou's missed drugs tests will be investigated by the IAAF.,19
S38,Sports,Barnstable meets challenge The Barnstable girls' volleyball team was looking for challenging nonleague opponents before the state tournament.,18
S39,Sports,SI.com ST. LOUIS (Ticker) -- The Cincinnati Reds continue to find new ways to lose to the St. Louis Cardinals.,20
S40,Sports,Tyson Completes Service Charges stemming from a 2003 altercation are dropped as Mike Tyson completes community service on Wednesday.,19
S41,Sports,Transactions BASEBALL Cleveland (AL): Sold INF Erick Almonte to Nippon (Japan). New York (AL): Signed P Tanyon Sturtze.,18
S42,Sports,Transactions BASEBALL Seattle (AL): Named Mike Hargrove manager and agreed to terms on a three-year contract.,16
S43,Sports,British eventers slip back Great Britain slip down to third after the cross-country round of the three-day eventing.,18
S44,Sports,Final Preseason Game Important for McMahon (AP) AP - Don't tell Mike McMahon the NFL's final exhibitions are meaningless.,19
S45,Sports,Phelps' Trial Set 19-year-old Olympic swimming champion Michael Phelps' drunken driving trial is set for Dec. 29.,17
S46,Sports,"NL notables The Mets' Jeff Keppinger got his first major league steal in the seventh, swiping second.",17
S47,Sports,Sooners stop at nothing DALLAS -- The recruiting battle was as intense as everyone expected. Oklahoma against Texas -- again.,20
S48,Sports,"Today's schedule Amateur baseball: Yawkey League playoffs -- South Boston vs. Somerville at Ronan Park, Dorchester, 7:30 p.m.",18
S49,Sports,"Today's schedule College hockey: MEN -- Worcester St. at Wentworth, 8 p.m.; WOMEN -- Rensselaer at MIT, 7 p.m.",19
S50,Sports,"Martinez Deal Finalized Martinez passes his physical, and the Mets finalize their \$53 million, four-year contract with the pitcher.",19
